id,date,category,description,amount,payment_method,location
712,2025-01-01,Shopping,Clothing,17210.12,Online,Islamabad
1254,2025-01-01,Food,Coffee,440.46,Bank Transfer,Rawalpindi
447,2025-01-02,Entertainment,Events,3068.16,Cash,Dubai
1003,2025-01-02,Transport,Parking,1139.9,Bank Transfer,Dubai
439,2025-01-03,Transport,Parking,833.42,Bank Transfer,Karachi
339,2025-01-04,Entertainment,Movies,725.22,Bank Transfer,Karachi
956,2025-01-04,Travel,Travel Transport,3220.91,Card,Dubai
580,2025-01-05,Entertainment,Games,6832.78,Bank Transfer,Islamabad
623,2025-01-05,Food,Coffee,842.3,Online,Dubai
76,2025-01-06,Transport,Parking,521.8,Online,Karachi
859,2025-01-06,Travel,Flight,40874.5,Online,Rawalpindi
997,2025-01-06,Education,Books,1294.31,Online,Dubai
395,2025-01-07,Education,Stationery,2020.68,Online,Islamabad
479,2025-01-07,Education,Books,2415.65,Bank Transfer,Karachi
654,2025-01-07,Transport,Ride Share,1479.04,Card,Islamabad
683,2025-01-07,Shopping,Online Shopping,6011.13,Card,Dubai
726,2025-01-07,Food,Coffee,493.5,Bank Transfer,Rawalpindi
975,2025-01-07,Food,Grocery,9347.97,Bank Transfer,Rawalpindi
1397,2025-01-07,Shopping,Online Shopping,1308.78,Card,Rawalpindi
560,2025-01-09,Entertainment,Streaming,1437.94,Bank Transfer,Islamabad
766,2025-01-09,Entertainment,Movies,910.81,Online,Lahore
323,2025-01-10,Bills,Electricity,20006.8,Bank Transfer,Islamabad
376,2025-01-10,Shopping,Clothing,8098.6,Online,Islamabad
599,2025-01-10,Shopping,Electronics,26466.21,Online,Dubai
645,2025-01-10,Transport,Public Transport,357.77,Cash,Karachi
406,2025-01-11,Transport,Public Transport,274.52,Cash,Rawalpindi
1283,2025-01-11,Travel,Travel Transport,3341.72,Online,Dubai
1297,2025-01-11,Transport,Public Transport,164.17,Card,Lahore
1462,2025-01-11,Transport,Parking,1342.01,Cash,Rawalpindi
330,2025-01-12,Bills,Phone Bill,3118.7,Card,Karachi
919,2025-01-12,Transport,Ride Share,741.75,Online,Rawalpindi
927,2025-01-12,Travel,Travel Transport,3557.35,Online,Dubai
390,2025-01-13,Bills,Utilities,5028.88,Card,Dubai
466,2025-01-13,Shopping,Clothing,5033.97,Bank Transfer,Dubai
493,2025-01-13,Food,Grocery,2700.09,Online,Islamabad
944,2025-01-13,Education,Books,3615.16,Online,Islamabad
1386,2025-01-14,Health,Fitness,3071.4,Online,Rawalpindi
1474,2025-01-15,Entertainment,Movies,1592.69,Bank Transfer,Lahore
181,2025-01-16,Health,Doctor,5103.26,Card,Lahore
1361,2025-01-16,Education,Stationery,267.97,Cash,Rawalpindi
347,2025-01-17,Entertainment,Games,2509.91,Card,Rawalpindi
364,2025-01-17,Bills,Utilities,4520.18,Cash,Islamabad
801,2025-01-17,Shopping,Home Supplies,907.42,Cash,Lahore
106,2025-01-18,Transport,Public Transport,274.36,Cash,Islamabad
371,2025-01-18,Bills,Phone Bill,1277.13,Online,Lahore
1411,2025-01-18,Health,Pharmacy,5156.67,Bank Transfer,Rawalpindi
785,2025-01-20,Health,Doctor,3705.79,Card,Dubai
1058,2025-01-20,Travel,Travel Transport,1318.32,Card,Karachi
93,2025-01-21,Shopping,Electronics,17475.56,Card,Dubai
741,2025-01-21,Education,Books,2873.52,Cash,Dubai
1446,2025-01-21,Education,Education Fees,11020.74,Card,Lahore
1119,2025-01-22,Food,Restaurant,2461.3,Cash,Islamabad
511,2025-01-23,Shopping,Electronics,48964.5,Bank Transfer,Karachi
765,2025-01-23,Shopping,Clothing,6137.46,Cash,Rawalpindi
828,2025-01-23,Food,Grocery,9279.44,Bank Transfer,Islamabad
1094,2025-01-23,Health,Fitness,3662.87,Bank Transfer,Dubai
344,2025-01-24,Bills,Utilities,6909.07,Online,Dubai
1031,2025-01-24,Transport,Parking,873.14,Card,Dubai
1241,2025-01-24,Health,Fitness,2348.9,Card,Dubai
1372,2025-01-25,Entertainment,Streaming,1124.16,Cash,Dubai
408,2025-01-26,Travel,Hotel,17949.11,Card,Karachi
1029,2025-01-26,Education,Courses,8315.68,Card,Islamabad
1274,2025-01-26,Entertainment,Events,12558.96,Cash,Lahore
389,2025-01-27,Transport,Public Transport,403.43,Bank Transfer,Rawalpindi
1409,2025-01-27,Transport,Public Transport,668.6,Cash,Islamabad
400,2025-01-28,Travel,Flight,53235.15,Bank Transfer,Karachi
931,2025-01-28,Bills,Utilities,3095.96,Card,Islamabad
1245,2025-01-28,Food,Fast Food,1008.8,Bank Transfer,Lahore
507,2025-01-29,Health,Doctor,4952.28,Cash,Rawalpindi
719,2025-01-29,Travel,Hotel,17090.65,Online,Lahore
1126,2025-01-29,Food,Grocery,6065.65,Cash,Karachi
87,2025-01-30,Education,Stationery,1584.01,Online,Lahore
135,2025-01-30,Entertainment,Games,4250.97,Card,Dubai
415,2025-01-30,Entertainment,Events,7413.94,Online,Karachi
1138,2025-01-30,Bills,Phone Bill,2027.12,Online,Lahore
