income,loan_amount,loan_term,credit_history,education,self_employed,married,dependents,property_area,loan_status
3824,63112,240,0,Graduate,Yes,Yes,0,Semiurban,No
8912,66663,120,0,Graduate,Yes,Yes,1,Semiurban,Yes
10928,269949,180,1,Not Graduate,Yes,Yes,3,Rural,Yes
6552,131516,180,1,Graduate,Yes,No,0,Rural,Yes
7635,188685,120,1,Graduate,No,Yes,2,Semiurban,Yes
7925,150814,120,0,Graduate,No,Yes,1,Urban,Yes
8227,195738,300,1,Graduate,No,No,1,Semiurban,Yes
6374,87435,360,0,Graduate,Yes,No,3,Rural,No
11125,165141,240,0,Graduate,Yes,No,3,Rural,No
3084,160615,360,1,Graduate,No,No,3,Urban,No
6339,123206,180,1,Not Graduate,No,No,1,Urban,Yes
10348,308744,120,0,Graduate,Yes,Yes,3,Semiurban,No
3040,251728,300,1,Not Graduate,Yes,Yes,2,Semiurban,No
7573,108485,240,1,Graduate,No,Yes,2,Semiurban,Yes
4927,316171,120,1,Graduate,Yes,No,1,Semiurban,Yes
10689,50299,360,1,Not Graduate,Yes,Yes,2,Rural,Yes
5923,80369,180,0,Graduate,No,Yes,1,Urban,Yes
9787,338255,180,1,Not Graduate,Yes,Yes,2,Rural,Yes
8118,279690,360,1,Graduate,Yes,Yes,0,Rural,Yes
2344,340414,180,0,Graduate,Yes,Yes,1,Urban,No
2514,223239,120,0,Not Graduate,No,Yes,1,Semiurban,No
11355,297815,180,1,Not Graduate,Yes,Yes,0,Semiurban,Yes
9062,235753,300,1,Not Graduate,Yes,Yes,0,Rural,Yes
7559,107288,180,0,Graduate,No,Yes,3,Urban,Yes
6563,292550,180,0,Not Graduate,Yes,Yes,0,Urban,No
5872,137194,300,1,Not Graduate,Yes,No,0,Urban,Yes
8209,51130,300,1,Not Graduate,No,No,3,Urban,Yes
5111,205560,180,0,Graduate,No,Yes,0,Semiurban,Yes
9811,313638,360,0,Graduate,Yes,Yes,0,Semiurban,No
3113,173314,300,0,Graduate,Yes,Yes,3,Semiurban,No
11562,346341,360,1,Not Graduate,Yes,No,1,Rural,Yes
8484,118617,240,1,Not Graduate,Yes,Yes,3,Semiurban,Yes
11224,102418,120,0,Not Graduate,Yes,No,0,Urban,No
8054,199415,180,1,Not Graduate,Yes,No,0,Urban,Yes
6333,110517,120,0,Not Graduate,No,Yes,2,Urban,Yes
6325,314979,300,1,Graduate,Yes,No,2,Urban,Yes
2058,224879,180,1,Graduate,No,No,0,Urban,Yes
3232,128147,360,0,Not Graduate,Yes,No,1,Urban,No
7050,241182,120,1,Graduate,Yes,Yes,2,Semiurban,Yes
8658,131030,180,0,Graduate,No,Yes,1,Semiurban,Yes
7442,265856,180,1,Graduate,Yes,No,0,Rural,Yes
5644,154633,300,1,Not Graduate,Yes,Yes,0,Semiurban,Yes
5164,258910,240,1,Graduate,No,No,3,Semiurban,Yes
10785,223617,120,0,Not Graduate,Yes,No,0,Urban,No
11774,277836,240,1,Not Graduate,Yes,No,1,Rural,Yes
2727,278619,120,0,Not Graduate,No,Yes,2,Semiurban,No
7143,115339,240,1,Not Graduate,No,No,2,Semiurban,Yes
4085,150579,300,1,Graduate,No,No,0,Rural,Yes
6700,160196,300,1,Not Graduate,No,No,1,Semiurban,Yes
9752,138967,120,1,Not Graduate,Yes,Yes,2,Urban,Yes
5262,127255,120,0,Graduate,No,Yes,3,Rural,Yes
11431,151940,300,1,Not Graduate,Yes,Yes,0,Urban,Yes
8965,164735,180,1,Graduate,Yes,Yes,3,Urban,Yes
9612,328466,360,1,Not Graduate,No,No,1,Semiurban,Yes
9777,285966,240,0,Not Graduate,No,Yes,2,Rural,No
3269,199803,180,1,Not Graduate,No,Yes,1,Urban,No
5788,250820,180,0,Graduate,No,No,2,Semiurban,Yes
9633,267985,120,0,Not Graduate,No,Yes,3,Rural,No
2096,234422,240,1,Not Graduate,Yes,No,1,Rural,No
9140,304616,120,1,Not Graduate,No,Yes,3,Urban,Yes
10751,64138,300,0,Graduate,No,Yes,3,Urban,Yes
2823,186396,300,1,Graduate,No,No,2,Rural,Yes
6558,271021,240,0,Not Graduate,Yes,Yes,2,Urban,No
3124,71106,120,0,Graduate,Yes,Yes,1,Urban,No
9758,109973,360,0,Not Graduate,No,No,1,Semiurban,Yes
11949,110048,180,1,Graduate,Yes,No,3,Rural,Yes
5249,89844,360,0,Graduate,No,Yes,0,Rural,Yes
10728,274593,240,0,Not Graduate,Yes,No,3,Urban,No
9102,239890,300,0,Not Graduate,Yes,No,3,Rural,No
9136,190716,240,0,Graduate,No,No,1,Rural,Yes
11336,248699,240,0,Not Graduate,No,Yes,3,Urban,No
7813,185451,240,1,Not Graduate,Yes,Yes,0,Urban,Yes
8658,306155,360,0,Not Graduate,No,No,0,Urban,No
6820,166180,300,0,Not Graduate,No,No,2,Rural,Yes
11017,223429,240,1,Not Graduate,No,No,1,Urban,Yes
5155,215438,120,0,Graduate,Yes,No,2,Semiurban,No
11659,325060,360,1,Graduate,Yes,No,1,Rural,Yes
4939,208475,120,0,Not Graduate,Yes,Yes,2,Semiurban,No
4068,307361,120,0,Not Graduate,No,No,3,Rural,No
5020,76936,240,1,Graduate,Yes,No,3,Urban,Yes
11453,78106,180,0,Not Graduate,Yes,Yes,0,Semiurban,Yes
8818,168325,360,1,Not Graduate,No,No,3,Rural,Yes
11316,81578,360,0,Graduate,Yes,No,0,Urban,Yes
5929,141128,360,0,Graduate,Yes,No,3,Semiurban,Yes
11729,296369,240,0,Graduate,No,No,3,Urban,No
5824,188702,360,0,Not Graduate,Yes,Yes,1,Rural,No
4330,87439,120,0,Not Graduate,No,No,0,Rural,No
6982,261030,240,1,Not Graduate,Yes,Yes,3,Semiurban,Yes
7280,181264,120,0,Graduate,Yes,No,0,Urban,Yes
9708,322086,300,1,Graduate,No,No,0,Rural,Yes
7700,264092,240,1,Graduate,Yes,No,3,Semiurban,Yes
10117,201109,300,0,Not Graduate,Yes,No,2,Rural,No
3899,261904,360,0,Not Graduate,No,Yes,1,Semiurban,No
7927,311353,300,0,Graduate,No,Yes,2,Rural,No
9941,113662,120,0,Graduate,No,Yes,3,Urban,Yes
5681,109486,300,0,Graduate,No,No,2,Rural,Yes
9905,297579,180,1,Graduate,No,Yes,1,Urban,Yes
6526,267549,240,1,Graduate,No,No,3,Urban,Yes
9316,332371,300,1,Not Graduate,No,No,2,Urban,Yes
5912,349786,300,0,Not Graduate,Yes,No,3,Semiurban,No
8246,252416,180,1,Graduate,Yes,No,0,Rural,Yes
3633,325749,300,0,Graduate,No,Yes,0,Rural,No
6342,227503,360,1,Graduate,No,No,2,Semiurban,Yes
9994,333648,120,0,Graduate,No,Yes,0,Rural,No
